Annee,country,Eight Regions,Four Regions,Geo,Members Oecd G77,Six Regions,UN member since,World bank income group 2017,World bank region,CO2 par habitant,Latitude,Longitude
1960,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0461,33.0,66.0
1961,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0536,33.0,66.0
1962,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0738,33.0,66.0
1963,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0742,33.0,66.0
1964,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0863,33.0,66.0
1965,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.101,33.0,66.0
1966,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.108,33.0,66.0
1967,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.124,33.0,66.0
1968,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.116,33.0,66.0
1969,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0868,33.0,66.0
1970,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.15,33.0,66.0
1971,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.166,33.0,66.0
1972,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.131,33.0,66.0
1973,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.136,33.0,66.0
1974,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.156,33.0,66.0
1975,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.169,33.0,66.0
1976,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.155,33.0,66.0
1977,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.183,33.0,66.0
1978,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.163,33.0,66.0
1979,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.168,33.0,66.0
1980,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.133,33.0,66.0
1981,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.152,33.0,66.0
1982,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.165,33.0,66.0
1983,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.204,33.0,66.0
1984,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.235,33.0,66.0
1985,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.298,33.0,66.0
1986,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.271,33.0,66.0
1987,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.272,33.0,66.0
1988,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.248,33.0,66.0
1989,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.236,33.0,66.0
1990,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.213,33.0,66.0
1991,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.188,33.0,66.0
1992,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0997,33.0,66.0
1993,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0891,33.0,66.0
1994,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.08,33.0,66.0
1995,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0727,33.0,66.0
1996,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.066,33.0,66.0
1997,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0597,33.0,66.0
1998,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0552,33.0,66.0
1999,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0423,33.0,66.0
2000,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0385,33.0,66.0
2001,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.039,33.0,66.0
2002,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0487,33.0,66.0
2003,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0518,33.0,66.0
2004,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0394,33.0,66.0
2005,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0529,33.0,66.0
2006,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0637,33.0,66.0
2007,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.0854,33.0,66.0
2008,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.154,33.0,66.0
2009,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.242,33.0,66.0
2010,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.294,33.0,66.0
2011,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.412,33.0,66.0
2012,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.35,33.0,66.0
2013,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.316,33.0,66.0
2014,Afghanistan,asia_west,asia,afg,g77,south_asia,19/11/1946,Low income,South Asia,0.299,33.0,66.0
1960,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.26,41.0,20.0
1961,Albania,europe_east,europe,alb,others,europe_central_asia,14/12/1955,Upper middle income,Europe & Central Asia,1.37,41.0,20.0
