StudentID,Gender,Age,ParentalEducation,HoursStudyPerWeek,HouseholdIncome,MathScore,ReadingScore,WritingScore,Region,Abs_Jan,Abs_Feb,Abs_Mar,TotalAbsences,InternetAccess,PassFail
1,female,20.0,high School,,678932.5539653157,58.6,46.3,64.4,DAKAR,2.0,1.0,4.0,7.0,yes,1
2,Feminin,17.0,master ,8.493919236658376,408814.47275188786,63.2,52.2,53.7,Dakar,2.0,0.0,4.0,6.0,Non,1
3,femelle,21.0,high School,7.5028568913502545,349577.6971143147,61.7,56.2,56.8,DAKAR,2.0,4.0,1.0,7.0,No,1
4,female,22.0,HS,7.154463080728124,187313.07908586157,56.1,62.6,45.0,Thies,3.0,1.0,150.0,154.0,yes,1
5,F,21.0,MSc,10.986445458408628,245853.74076673482,53.3,44.3,51.8,thies,4.0,0.0,3.0,7.0,oui,1
6,FEMALE,23.0,Licence,9.30231126714828,284303.9287527653,52.0,47.1,45.9,saint louis,2.0,4.0,4.0,10.0,oui,1
7,femelle,22.0,high School,17.10330171059055,335139.461230402,73.4,56.0,59.6,thies,3.0,2.0,4.0,9.0,Yes,1
8,femelle,21.0,master ,4.591101428010703,74347.73471243025,79.7,66.6,69.8,Saint-Louis,3.0,2.0,1.0,6.0,yes,1
9,female,20.0,High school,10.072406808119903,67720.5177303383,74.8,64.4,62.2,Thiès,2.0,2.0,3.0,7.0,Y,1
10,male ,16.0,MSc,5.883195960753948,223574.1133273251,78.6,61.9,75.1,Dakar,3.0,3.0,3.0,9.0,No,1
11,F,21.0,Master,4.522852052045424,324856.73241342825,65.7,57.8,47.2,thies,2.0,2.0,5.0,9.0,No,1
12,female,21.0,Master,7.956531451860111,271287.2223417778,63.8,64.7,69.5,Dakar,2.0,0.0,1.0,3.0,No,1
13,F,21.0,HS,8.549409917628145,421642.17103679327,92.6,76.9,78.6,thies,1.0,0.0,3.0,4.0,Non,1
14,F,17.0,high School,19.67269422024037,122112.38556050774,89.7,54.5,66.1,Dakar,3.0,1.0,4.0,8.0,No,1
15,FEMALE,17.0,Licence,7.263416737267192,209838.54364759556,75.0,80.6,76.6,Saint-Louis,1.0,1.0,4.0,6.0,yes,1
16,femelle,23.0,high School,3.479285082061266,,57.7,58.7,55.6,Thies,3.0,2.0,3.0,8.0,OUI,1
17,Feminin,20.0,Master,9.092042869977544,315734.31896101765,63.9,61.9,53.7,Saint-Louis,2.0,2.0,5.0,9.0,No,1
18,FEMALE,22.0,Bachelor,0.2985601501854731,406181.109936139,58.6,63.2,55.7,DAKAR,2.0,2.0,2.0,6.0,1,1
19,FEMALE,20.0,High school,7.632172869582937,355496.4559489709,62.2,58.4,56.9,Dakar,1.0,1.0,4.0,6.0,0,1
20,F,20.0,MSc,8.064101129180642,216743.4698517813,42.2,38.2,36.2,dakar,3.0,2.0,4.0,9.0,No,0
21,Masculin,22.0,HS,11.178401531780846,173675.43089489947,69.1,72.0,62.3,Thies,2.0,3.0,1.0,6.0,Y,1
22,femelle,19.0,Bachelor,11.894488997711388,267308.7718882954,74.9,73.4,79.5,DAKAR,4.0,1.0,5.0,10.0,0,1
23,male ,20.0,master ,5.98572152436913,65448.83946200693,60.8,51.0,60.9,thies,1.0,0.0,1.0,2.0,yes,1
24,FEMALE,19.0,Licence,7.397543941480268,262752.3835492837,59.3,55.7,60.8,thies,4.0,2.0,4.0,10.0,1,1
