StudentID,Gender,Age,ParentalEducation,HoursStudyPerWeek,HouseholdIncome,MathScore,ReadingScore,WritingScore,Region,Abs_Jan,Abs_Feb,Abs_Mar,TotalAbsences,InternetAccess,PassFail
1,F,20.0,High School,,678932.5539653157,58.6,46.3,64.4,Dakar,2.0,1.0,4.0,7.0,1,1
2,F,17.0,Master,8.493919236658376,408814.4727518879,63.2,52.2,53.7,Dakar,2.0,0.0,4.0,6.0,0,1
3,F,21.0,High School,7.5028568913502545,349577.6971143147,61.7,56.2,56.8,Dakar,2.0,4.0,1.0,7.0,0,1
4,F,22.0,High School,7.154463080728124,187313.0790858616,56.1,62.6,45.0,Thies,3.0,1.0,150.0,154.0,1,1
5,F,21.0,Master,10.986445458408628,245853.7407667348,53.3,44.3,51.8,Thies,4.0,0.0,3.0,7.0,1,1
6,F,23.0,Bachelor,9.30231126714828,284303.9287527653,52.0,47.1,45.9,Saint louis,2.0,4.0,4.0,10.0,1,1
7,F,22.0,High School,17.10330171059055,335139.461230402,73.4,56.0,59.6,Thies,3.0,2.0,4.0,9.0,1,1
8,F,21.0,Master,4.591101428010703,74347.73471243025,79.7,66.6,69.8,Saint-louis,3.0,2.0,1.0,6.0,1,1
9,F,20.0,High School,10.072406808119904,67720.5177303383,74.8,64.4,62.2,Thiès,2.0,2.0,3.0,7.0,1,1
10,M,16.0,Master,5.883195960753948,223574.1133273251,78.6,61.9,75.1,Dakar,3.0,3.0,3.0,9.0,0,1
11,F,21.0,Master,4.522852052045424,324856.73241342825,65.7,57.8,47.2,Thies,2.0,2.0,5.0,9.0,0,1
12,F,21.0,Master,7.956531451860111,271287.2223417778,63.8,64.7,69.5,Dakar,2.0,0.0,1.0,3.0,0,1
13,F,21.0,High School,8.549409917628145,421642.17103679327,92.6,76.9,78.6,Thies,1.0,0.0,3.0,4.0,0,1
14,F,17.0,High School,19.67269422024037,122112.38556050774,89.7,54.5,66.1,Dakar,3.0,1.0,4.0,8.0,0,1
15,F,17.0,Bachelor,7.263416737267192,209838.5436475956,75.0,80.6,76.6,Saint-louis,1.0,1.0,4.0,6.0,1,1
16,F,23.0,High School,3.479285082061266,,57.7,58.7,55.6,Thies,3.0,2.0,3.0,8.0,1,1
17,F,20.0,Master,9.092042869977544,315734.31896101765,63.9,61.9,53.7,Saint-louis,2.0,2.0,5.0,9.0,0,1
18,F,22.0,Bachelor,0.2985601501854731,406181.109936139,58.6,63.2,55.7,Dakar,2.0,2.0,2.0,6.0,1,1
19,F,20.0,High School,7.632172869582937,355496.4559489709,62.2,58.4,56.9,Dakar,1.0,1.0,4.0,6.0,0,1
20,F,20.0,Master,8.064101129180642,216743.4698517813,42.2,38.2,36.2,Dakar,3.0,2.0,4.0,9.0,0,0
21,M,22.0,High School,11.178401531780846,173675.43089489947,69.1,72.0,62.3,Thies,2.0,3.0,1.0,6.0,1,1
22,F,19.0,Bachelor,11.894488997711388,267308.7718882954,74.9,73.4,79.5,Dakar,4.0,1.0,5.0,10.0,0,1
23,M,20.0,Master,5.98572152436913,65448.83946200693,60.8,51.0,60.9,Thies,1.0,0.0,1.0,2.0,1,1
24,F,19.0,Bachelor,7.397543941480268,262752.3835492837,59.3,55.7,60.8,Thies,4.0,2.0,4.0,10.0,1,1
25,F,19.0,Bachelor,4.935516677557317,405727.46248567983,53.1,57.9,50.3,Thiès,2.0,1.0,2.0,5.0,1,1
26,M,19.0,Master,3.4877497807692244,364870.7450174689,44.1,31.8,29.2,Saint louis,3.0,3.0,4.0,10.0,1,0
27,M,21.0,Bachelor,9.239579117522538,374289.9803265612,68.7,50.4,52.9,Thies,1.0,1.0,3.0,5.0,1,1
28,M,19.0,Bachelor,2.905657805613603,254938.92232326005,51.1,50.4,44.2,Saint louis,1.0,1.0,6.0,8.0,1,1
29,F,23.0,Master,6.341492397712548,221268.33167932305,60.7,51.1,58.5,Dakar,2.0,1.0,5.0,8.0,0,1
30,F,18.0,Bachelor,4.019304160403051,452310.68062783446,49.5,43.3,47.8,Thies,1.0,3.0,3.0,7.0,1,0
31,F,20.0,High School,10.198732745161038,161289.543651641,55.1,56.3,40.1,Saint-louis,3.0,2.0,5.0,10.0,0,1
32,M,19.0,Master,15.205720397065951,335289.8446551857,53.6,52.7,48.0,Thiès,2.0,2.0,3.0,7.0,1,1
33,F,24.0,High School,2.793648068786675,319600.1616813046,76.8,70.6,65.0,Saint-louis,1.0,1.0,1.0,3.0,0,1
34,M,20.0,Bachelor,0.5879260684097236,475406.0419508542,51.9,62.4,49.1,Thies,1.0,3.0,2.0,6.0,1,1
35,M,23.0,High School,7.500452458599731,279313.4358487928,52.1,49.0,46.2,Saint-louis,2.0,3.0,3.0,8.0,1,1
36,F,16.0,High School,8.062791183831033,144568.9655199455,87.9,64.1,67.9,Dakar,1.0,0.0,1.0,2.0,1,1
37,F,21.0,Master,8.87463722702919,157493.61998699518,67.5,58.8,57.0,Thiès,2.0,3.0,5.0,10.0,1,1
38,M,22.0,Master,6.21471793906262,369469.1781682961,40.3,36.8,27.0,Dakar,2.0,3.0,3.0,8.0,1,0
39,M,20.0,High School,7.197442804698273,292279.4823145,80.3,76.3,76.8,Thiès,3.0,3.0,4.0,10.0,0,1
40,F,23.0,Master,9.470041642162409,245379.38592554835,61.8,64.0,63.4,Dakar,3.0,1.0,3.0,7.0,1,1
41,F,19.0,Bachelor,12.161723570579356,421875.3460793365,74.0,61.3,74.9,Saint louis,1.0,1.0,1.0,3.0,0,1
42,F,24.0,High School,0.1798049187268686,234325.466454742,67.6,63.0,55.6,Dakar,2.0,2.0,3.0,7.0,0,1
43,M,26.0,Master,6.524242243874151,306294.8864267333,87.4,78.8,72.7,Dakar,1.0,2.0,3.0,6.0,1,1
44,F,19.0,Bachelor,8.855235175764253,393579.436890606,62.4,59.6,52.0,Dakar,1.0,3.0,150.0,154.0,1,1
45,F,19.0,Master,4.328095581557056,254986.92060677227,29.2,22.6,34.5,Dakar,0.0,3.0,2.0,5.0,1,0
46,F,24.0,Bachelor,14.924678527069196,488222.2782567065,321.5,63.1,39.7,Saint louis,3.0,2.0,3.0,8.0,0,1
47,F,24.0,High School,5.458360479085052,,72.5,67.8,74.7,Dakar,3.0,2.0,0.0,5.0,1,1
48,F,19.0,Bachelor,7.834829251970868,378831.4879610506,69.3,59.0,55.2,Saint-louis,1.0,2.0,4.0,7.0,1,1
49,M,19.0,Master,10.224088387369164,472059.94063918135,72.1,63.1,63.2,Dakar,1.0,2.0,4.0,7.0,1,1
50,M,19.0,Master,5.634860844792422,134724.54128734802,48.3,54.2,42.0,Thiès,3.0,3.0,4.0,10.0,1,0
51,F,17.0,High School,0.6137078087823316,258799.7788977061,55.7,64.7,56.7,Dakar,1.0,0.0,3.0,4.0,0,1
52,M,18.0,Master,6.2853818923338665,437064.8871462669,70.1,52.9,47.5,Dakar,3.0,2.0,6.0,11.0,1,1
53,F,17.0,Master,12.117762223708162,438869.345727723,80.0,67.7,70.8,Dakar,1.0,3.0,4.0,8.0,1,1
54,F,18.0,High School,6.652419492859446,244805.06056425424,76.0,64.0,69.9,Dakar,0.0,1.0,2.0,3.0,1,1
55,F,20.0,High School,4.614262794164086,182977.501032182,72.4,62.1,66.0,Thies,2.0,4.0,1.0,7.0,0,1
56,F,21.0,Master,11.702688838010886,414712.29867969145,66.0,41.5,54.0,Dakar,1.0,1.0,1.0,3.0,1,1
57,F,24.0,Bachelor,6.676900415907789,442025.8923097926,54.6,44.7,42.4,Saint louis,2.0,1.0,4.0,7.0,0,1
58,M,18.0,Master,5.9593567453991305,,82.4,73.0,81.0,Saint-louis,2.0,3.0,4.0,9.0,1,1
59,F,22.0,Bachelor,8.597824358653238,155530.36212403438,90.4,86.9,76.6,Dakar,3.0,4.0,3.0,10.0,0,1
60,F,19.0,High School,11.083000838475147,327030.801838032,96.9,77.3,79.9,Dakar,2.0,2.0,3.0,7.0,1,1
61,F,20.0,High School,17.526854126930182,276786.32763052103,88.0,57.0,60.9,Thiès,2.0,2.0,3.0,7.0,1,1
62,F,22.0,Master,11.308944430629692,264111.7097723934,47.0,41.6,40.6,Thies,2.0,4.0,4.0,10.0,0,0
63,F,17.0,Bachelor,12.639359865553375,381515.25839788193,40.3,36.7,26.9,Thiès,2.0,0.0,2.0,4.0,0,0
64,M,21.0,Master,5.976135204048578,214783.60717951413,57.9,48.3,44.5,Saint louis,1.0,0.0,3.0,4.0,0,1
65,F,20.0,High School,3.896527576122095,33441.665953891184,56.7,60.0,54.2,Saint louis,2.0,0.0,3.0,5.0,0,1
66,M,21.0,Master,8.249325398476492,249131.87132008848,65.6,46.4,62.5,Dakar,3.0,1.0,4.0,8.0,1,1
67,F,21.0,Master,8.428679661038386,307587.85758157214,63.7,66.7,59.1,Saint louis,2.0,1.0,2.0,5.0,1,1
68,M,26.0,Bachelor,3.6859490345416113,266899.2048124252,52.5,42.0,49.2,Dakar,2.0,2.0,2.0,6.0,1,1
69,F,18.0,Bachelor,7.298821880383949,160967.60836086178,88.6,77.4,88.3,Dakar,3.0,3.0,3.0,9.0,0,1
70,M,19.0,High School,9.597270406876524,62946.8310588477,89.0,84.7,76.2,Saint-louis,2.0,3.0,3.0,8.0,1,1
